#{"t_start": 1773999538.7571719, "env_id": "highway-fast-v0"}
r,l,t
9.227423,40,188.054157
11.688889,40,188.235193
11.244444,40,188.420172
16.492451,40,188.60257
4.177778,40,188.785056
3.485883,40,188.966542
12.733333,40,189.360007
11.444444,40,189.542497
14.60002,40,189.723578
7.817999,40,189.905416
6.8,40,190.089061
16.244444,40,190.276661
0.747046,3,190.294259
10.111111,40,190.477988
13.869063,40,190.664698
11.977778,40,190.849006
4.539333,40,191.032014
1.377778,40,191.211675
2.888889,40,191.393082
7.518798,40,191.572051
13.555556,40,191.757027
0.666667,40,191.938835
14.622222,40,192.119078
6.266667,40,192.302668
7.207404,40,192.481393
6.531843,40,192.661084
5.724329,40,192.841631
13.933333,40,193.030672
4.933333,40,193.215083
6.133333,40,193.397423
2.733333,40,193.589779
5.81924,40,193.768653
5.664775,40,193.946662
6.903352,40,194.127955
2.111111,40,194.310536
5.0,40,194.488779
7.022222,40,194.66861
4.222222,40,194.850224
11.118324,40,195.032994
5.062345,40,195.213304
11.333333,40,195.393047
0.666667,40,195.576733
12.022222,40,195.761992
11.666667,40,195.943062
11.577227,40,196.124978
4.970817,40,196.305058
5.688889,40,196.486797
10.345366,40,196.670723
5.030602,40,196.855241
9.911111,40,197.0363
5.942135,40,197.217726
8.042287,40,197.401319
11.288889,40,197.582018
9.777778,40,197.760708
14.622222,40,197.942271
14.622222,40,198.126949
18.484322,40,198.310315
14.582861,40,198.488803
8.088889,40,198.670649
12.327689,40,198.853725
10.356093,40,199.113509
16.488889,40,199.34251
7.622222,40,199.551679
7.762814,40,199.755551
17.377778,40,199.951027
4.244444,40,200.155308
7.044444,40,200.352293
12.711111,40,200.542386
14.837034,40,200.725884
7.116537,40,200.909303
7.466667,40,201.091884
3.533333,40,201.272805
12.488889,40,201.452513
7.121476,40,201.633635
2.044444,40,201.814058
7.23694,40,201.995386
5.60192,40,202.179563
2.755556,40,202.358569
14.860042,40,202.541426
18.174367,40,202.722144
0.711111,40,202.907192
5.555556,40,203.086127
0.688889,40,203.268745
5.630312,40,203.450508
0.711111,40,203.633245
16.266667,40,203.843168
2.201279,40,204.027725
3.662588,40,204.211724
13.866667,40,204.395073
1.377778,40,204.583695
16.666667,40,204.769457
10.355556,40,204.985451
4.277525,40,205.16991
18.088889,40,205.357828
10.592673,40,205.544028
11.066667,40,205.726861
7.711111,40,205.909131
5.536884,40,206.093542
10.444444,40,206.274823
6.444444,40,206.459438
7.691481,40,206.674066
7.2,40,206.851776
3.015165,40,207.029455
2.155556,40,207.207424
8.266667,40,207.390867
6.933333,40,207.569373
0.688889,40,207.750228
6.453831,40,207.930145
8.377778,40,208.111474
12.613584,40,208.289581
11.921362,40,208.67989
12.424969,40,208.86097
7.464068,40,209.042562
4.222222,40,209.224189
10.588158,40,209.406431
1.4,40,209.587343
18.355556,40,209.786151
5.533333,40,209.972265
6.911111,40,210.155161
13.844444,40,210.33873
9.916188,40,210.60746
2.822222,40,210.809998
1.422222,40,210.990904
20.4,40,211.217158
6.288889,40,211.40227
6.911111,40,211.580351
13.377778,40,211.758028
14.777778,40,211.940838
7.045936,40,212.122247
2.666667,40,212.302602
2.022222,40,212.483742
4.8,40,212.665229
7.0,40,212.84908
6.377477,40,213.024455
12.022222,40,213.200328
5.231546,40,213.381091
12.533333,40,213.561168
0.0,40,213.742523
10.72996,40,213.923881
16.466667,40,214.104755
9.939276,40,214.288146
